4446,7,,Min,1
10611,8,,Avg,81.93625844
10756,8,,Median,14
4447,5,,Max,50337
11542,5,,Count,14951
11543,33,,,
11540,54,,,
11541,202,,,
11546,3,,,
11547,20,,,
11544,9,,,
11545,5,,,
11548,5,,,
11549,4,,,
643,6,,,
5988,1,,,
5989,7,,,
5982,101,,,
4642,8,,,
5980,64,,,
5981,11,,,
5986,360,,,
5987,39,,,
5984,45,,,
5985,15,,,
3380,2,,,
964,5,,,
10613,3,,,
820,4,,,
6342,10,,,
6796,15,,,
6797,13,,,
6794,7,,,
6795,116,,,
6792,21,,,
6793,309,,,
6790,20,,,
6791,2,,,
6798,1,,,
6799,2,,,
8804,6,,,
14318,8,,,
270,169,,,
271,11,,,
272,15,,,
273,16,,,
274,23,,,
275,40,,,
276,122,,,
277,76,,,
278,93,,,
279,41,,,
12019,8,,,
12018,24,,,
2146,8,,,
12015,131,,,
12014,37,,,
12017,7,,,
12016,5,,,
12011,5,,,
14475,7,,,
12013,33,,,
12012,88,,,
4431,7,,,
4647,7,,,
10709,6,,,
10708,36,,,
9528,131,,,
9529,132,,,
9258,74,,,
9259,6,,,
9256,303,,,
10702,118,,,
9254,3,,,
9255,284,,,
9252,64,,,
9253,55,,,
9250,6,,,
10704,21,,,
6346,7,,,
3282,2,,,
934,8,,,
1212,19,,,
13903,4,,,
5983,6,,,
10619,11,,,
2143,5,,,
8907,17,,,
10618,26,,,
3519,27,,,
3518,914,,,
4529,16,,,
6365,11,,,
3512,33,,,
3511,6,,,
3510,16,,,
1210,8,,,
3516,9,,,
3515,32,,,
3514,15,,,
2688,3,,,
2689,5,,,
2684,5,,,
2685,6,,,
2686,15,,,
2687,15,,,
2680,12,,,
2681,4,,,
2682,67,,,
2683,1,,,
14624,6,,,
14625,95,,,
13440,108,,,
14627,807,,,
14620,30,,,
14621,38,,,
14622,14,,,
14623,160,,,
14628,96,,,
14629,5,,,
99,4,,,
98,4,,,
11362,7,,,
91,18,,,
6267,20,,,
93,5,,,
92,3,,,
95,580,,,
94,7,,,
97,24,,,
96,3,,,
1377,2,,,
13058,15,,,
13059,28,,,
9287,5,,,
13052,30,,,
13053,212,,,
13050,306,,,
13051,75,,,
13056,4,,,
13057,15,,,
13054,25,,,
13055,93,,,
13597,9,,,
8243,3,,,
10693,6,,,
1177,4,,,
2024,7,,,
1175,64,,,
1174,3,,,
1173,135,,,
1172,2,,,
1171,57,,,
1170,10,,,
1179,31,,,
1178,20,,,
1610,4,,,
512,5,,,
6987,4,,,
10696,2,,,
6260,9,,,
7188,6,,,
7189,4,,,
877,102,,,
7180,134,,,
7181,4,,,
7182,86,,,
7183,5,,,
7184,17,,,
3432,96,,,
7186,9,,,
7187,4,,,
623,522,,,
3433,6,,,
622,4,,,
3434,5,,,
